,Ticker,Sustainalytics Score,Sector,MSCI ESG 2017,MSCI ESG 2018,MSCI ESG 2019,MSCI ESG 2020,MSCI ESG 2021,index_x,2019-2021 Returns,index_y,2017 Returns,index_x,2018 Returns,index_y,2019 Returns,index_x,2020 Returns,index_y,2021 Returns
52,DIS,16.3,Communication Services,3.0,3.0,3.0,3.0,4.0,DIS,1.6829402343331012,DIS,1.0134803948010223,DIS,0.9807692176458747,DIS,1.3272460609584205,DIS,1.2225370877642938,DIS,1.0321364641447641
53,DISCA,17.0,Communication Services,3.0,3.0,3.0,3.0,3.0,DISCA,1.451413154827752,DISCA,0.8004291807432548,DISCA,1.0705321989492498,DISCA,1.267518458194765,DISCA,0.9338919619051227,DISCA,1.2239635228748895
54,DISH,22.5,Communication Services,1.0,0.0,0.0,0.0,0.0,DISH,1.6070325155047624,DISH,0.7999665119548807,DISH,0.49741033732789885,DISH,1.370556505831527,DISH,0.9048684564576449,DISH,1.3190611876581178
55,EA,12.7,Communication Services,2.0,2.0,3.0,4.0,4.0,EA,1.791588908453629,EA,1.3270178096303642,EA,0.7209685323191478,EA,1.3376881729769836,EA,1.337805207776268,EA,1.032112473390633
56,FB,24.8,Communication Services,3.0,2.0,3.0,3.0,1.0,FB,2.263414082261612,FB,1.5100120297127244,FB,0.7225774317107784,FB,1.5127506712832903,FB,1.302126061834392,FB,1.1418903968011351
57,GOOGL,22.3,Communication Services,4.0,4.0,5.0,5.0,3.0,GOOGL,2.236735236209422,GOOGL,1.3036967508850743,GOOGL,0.9736770985843979,GOOGL,1.2699491281130573,GOOGL,1.280533028808639,GOOGL,1.3666641749980217
58,NFLX,17.4,Communication Services,2.0,2.0,1.0,1.0,2.0,NFLX,1.89240074005639,NFLX,1.5056867984183953,NFLX,1.3311781663712603,NFLX,1.2088844164131802,NFLX,1.6395196763939346,NFLX,0.9687488107798039
59,NWSA,13.4,Communication Services,0.0,0.0,0.0,0.0,0.0,NWSA,2.297629437003115,NWSA,1.3866552323641017,NWSA,0.6908095052131099,NWSA,1.2414398522483059,NWSA,1.2444598224065524,NWSA,1.4410793114639426
60,TTWO,17.3,Communication Services,3.0,3.0,3.0,3.0,3.0,TTWO,1.6765695731302135,TTWO,2.2303940686031667,TTWO,0.9119419290054002,TTWO,1.1770983346853423,TTWO,1.7020805223585378,TTWO,0.8639088412679286
61,VIAC,16.1,Communication Services,1.0,1.0,1.0,2.0,3.0,VIAC,0.9073587482178656,VIAC,0.9162913582739535,VIAC,0.7388879934704656,VIAC,0.9191853123293839,VIAC,0.885245858552041,VIAC,1.131967268645376
