Ticker,Dates,Market Cap
CRWD US Equity,1/4/21,44361.167
DOCU US Equity,5/7/21,37992.9183
DOCU US Equity,5/6/21,37669.9552
DOCU US Equity,5/5/21,38224.4401
DOCU US Equity,5/4/21,39749.7601
DOCU US Equity,5/3/21,41849.0206
DOCU US Equity,4/30/21,43374.3405
DOCU US Equity,4/29/21,43695.3581
DOCU US Equity,4/28/21,45195.3857
DOCU US Equity,4/27/21,44751.7978
DOCU US Equity,4/26/21,45596.1713
DOCU US Equity,4/23/21,43743.9971
DOCU US Equity,4/22/21,43131.1454
DOCU US Equity,4/21/21,42677.8296
DOCU US Equity,4/20/21,42691.4485
DOCU US Equity,4/19/21,43444.3807
DOCU US Equity,4/16/21,45123.4
DOCU US Equity,4/15/21,45370.4863
DOCU US Equity,4/14/21,43514.2125
DOCU US Equity,4/13/21,43182.1019
DOCU US Equity,4/12/21,41220.3323
DOCU US Equity,4/9/21,41121.8577
DOCU US Equity,4/8/21,40988.6272
DOCU US Equity,4/7/21,39720.042
DOCU US Equity,4/6/21,39720.042
DOCU US Equity,4/5/21,39708.4567
DOCU US Equity,4/1/21,39832.0328
DOCU US Equity,3/31/21,39090.5765
DOCU US Equity,3/30/21,36740.5194
DOCU US Equity,3/29/21,36826.3356
DOCU US Equity,3/26/21,37677.0352
DOCU US Equity,3/25/21,37365.4851
DOCU US Equity,3/24/21,37024.0859
DOCU US Equity,3/23/21,38796.3767
DOCU US Equity,3/22/21,38697.5015
DOCU US Equity,3/19/21,38369.1613
DOCU US Equity,3/18/21,38206.8568
DOCU US Equity,3/17/21,39800.0529
DOCU US Equity,3/16/21,39397.0899
DOCU US Equity,3/15/21,41057.4465
DOCU US Equity,3/12/21,39240.3821
DOCU US Equity,3/11/21,42016.3491
DOCU US Equity,3/10/21,39675.0598
DOCU US Equity,3/9/21,39777.6661
DOCU US Equity,3/8/21,35975.6361
DOCU US Equity,3/5/21,38115.4439
DOCU US Equity,3/4/21,39292.6181
DOCU US Equity,3/3/21,40975.3615
DOCU US Equity,3/2/21,43391.2736
DOCU US Equity,3/1/21,44505.0184
DOCU US Equity,2/26/21,42284.991
DOCU US Equity,2/25/21,42111.4931
DOCU US Equity,2/24/21,44710.231
DOCU US Equity,2/23/21,45445.2652
DOCU US Equity,2/22/21,45428.4751
DOCU US Equity,2/19/21,49467.4324
DOCU US Equity,2/18/21,48689.49
DOCU US Equity,2/17/21,47568.283
DOCU US Equity,2/16/21,49379.7506
DOCU US Equity,2/12/21,49120.4365
DOCU US Equity,2/11/21,47808.9414
DOCU US Equity,2/10/21,47618.6533
DOCU US Equity,2/9/21,47724.9908
DOCU US Equity,2/8/21,46434.0169
DOCU US Equity,2/5/21,46708.2556
DOCU US Equity,2/4/21,45894.8674
DOCU US Equity,2/3/21,44182.2749
DOCU US Equity,2/2/21,44743.8112
DOCU US Equity,2/1/21,42934.2091
DOCU US Equity,1/29/21,43447.2406
DOCU US Equity,1/28/21,43680.4368
DOCU US Equity,1/27/21,42010.7524
DOCU US Equity,1/26/21,43861.397
DOCU US Equity,1/25/21,45594.5108
DOCU US Equity,1/22/21,47599.9976
