Ticker,Dates,Market Cap
ETAC US Equity,1/8/21,778.002
ETAC US Equity,1/7/21,786.384
ETAC US Equity,1/6/21,773.43
ETAC US Equity,1/5/21,779.526
ETAC US Equity,1/4/21,777.24
SCOA US Equity,5/7/21,706.5313
SCOA US Equity,5/6/21,706.6894
SCOA US Equity,5/5/21,705.8125
SCOA US Equity,5/4/21,711.5625
SCOA US Equity,5/3/21,705.8125
SCOA US Equity,4/30/21,713
SCOA US Equity,4/29/21,705.0938
SCOA US Equity,4/28/21,709.4063
SCOA US Equity,4/27/21,707.25
SCOA US Equity,4/26/21,707.25
SCOA US Equity,4/23/21,710.125
SCOA US Equity,4/22/21,707.25
SCOA US Equity,4/21/21,713.7188
SCOA US Equity,4/20/21,713.7188
SCOA US Equity,4/19/21,712.2813
SCOA US Equity,4/16/21,716.2344
SCOA US Equity,4/15/21,711.5625
SCOA US Equity,4/14/21,715.1563
SCOA US Equity,4/13/21,715.1563
SCOA US Equity,4/12/21,717.3125
SCOA US Equity,4/9/21,717.3125
SCOA US Equity,4/8/21,719.4687
SCOA US Equity,4/7/21,715.1563
SCOA US Equity,4/6/21,717.3125
SCOA US Equity,4/5/21,709.4063
SCOA US Equity,4/1/21,705.8125
SCOA US Equity,3/31/21,704.375
SCOA US Equity,3/30/21,705.8125
SCOA US Equity,3/29/21,704.375
SCOA US Equity,3/26/21,707.25
SCOA US Equity,3/25/21,697.9063
SCOA US Equity,3/24/21,701.5
SCOA US Equity,3/23/21,705.4531
SCOA US Equity,3/22/21,710.125
SCOA US Equity,3/19/21,713.7188
SCOA US Equity,3/18/21,711.5625
SCOA US Equity,3/17/21,713
SCOA US Equity,3/16/21,712.2813
SCOA US Equity,3/15/21,717.3125
SCOA US Equity,3/12/21,718.75
SCOA US Equity,3/11/21,714.4375
SCOA US Equity,3/10/21,712.2813
SCOA US Equity,3/9/21,714.7969
SCOA US Equity,3/8/21,714.4375
SCOA US Equity,3/5/21,715.875
SCOA US Equity,3/4/21,715.1563
SCOA US Equity,3/3/21,720.9062
SCOA US Equity,3/2/21,725.9375
SCOA US Equity,3/1/21,728.8125
SCOA US Equity,2/26/21,725.9375
SCOA US Equity,2/25/21,741.75
SCOA US Equity,2/24/21,746.4219
SCOA US Equity,2/23/21,758.2813
SCOA US Equity,2/22/21,754.6875
SCOA US Equity,2/19/21,759
SCOA US Equity,2/18/21,753.25
SCOA US Equity,2/17/21,746.7813
SCOA US Equity,2/16/21,751.0938
SCOA US Equity,2/12/21,746.7813
SCOA US Equity,2/11/21,754.6875
SCOA US Equity,2/10/21,757.5625
SCOA US Equity,2/9/21,747.5
SCOA US Equity,2/8/21,747.5
SCOA US Equity,2/4/21,781.2813
SCOA US Equity,2/3/21,777.6875
SCOA US Equity,2/2/21,776.25
SCOA US Equity,2/1/21,773.375
SCOA US Equity,1/29/21,768.3366
SCOA US Equity,1/28/21,772.6563
SCOA US Equity,1/27/21,762.5937
SCOA US Equity,1/26/21,780.5625
SCOA US Equity,1/25/21,790.625
SCOA US Equity,1/22/21,789.5469
SCOA US Equity,1/21/21,790.625
SCOA US Equity,1/20/21,794.2188
SCOA US Equity,1/19/21,782.7188
SCOA US Equity,1/15/21,782.7188
SCOA US Equity,1/14/21,779.125
SCOA US Equity,1/13/21,779.8438
SCOA US Equity,1/12/21,773.0156
SCOA US Equity,1/11/21,761.875
SCOA US Equity,1/8/21,754.6875
SCOA US Equity,1/7/21,754.6875
SCOA US Equity,1/6/21,752.5313
SCOA US Equity,1/5/21,743.9063
SCOA US Equity,1/4/21,748.9375
PACE US Equity,5/7/21,576.5625
PACE US Equity,5/6/21,577.125
PACE US Equity,5/5/21,591.75
PACE US Equity,5/4/21,592.3125
PACE US Equity,5/3/21,586.6875
PACE US Equity,4/30/21,581.625
PACE US Equity,4/29/21,577.6875
PACE US Equity,4/28/21,574.3125
PACE US Equity,4/27/21,573.75
PACE US Equity,4/26/21,569.25
PACE US Equity,4/23/21,566.4375
PACE US Equity,4/22/21,567
PACE US Equity,4/21/21,568.125
PACE US Equity,4/20/21,558.5625
PACE US Equity,4/19/21,561.375
PACE US Equity,4/16/21,561.9375
PACE US Equity,4/15/21,562.5
PACE US Equity,4/14/21,565.3125
PACE US Equity,4/13/21,565.3125
PACE US Equity,4/12/21,564.75
PACE US Equity,4/9/21,563.625
PACE US Equity,4/8/21,563.625
PACE US Equity,4/7/21,565.875
PACE US Equity,4/6/21,564.75
PACE US Equity,4/5/21,563.0625
PACE US Equity,4/1/21,560.25
PACE US Equity,3/31/21,557.4375
PACE US Equity,3/30/21,559.125
PACE US Equity,3/29/21,557.4375
PACE US Equity,3/26/21,559.6875
PACE US Equity,3/25/21,561.375
PACE US Equity,3/24/21,558
PACE US Equity,3/23/21,560.8125
PACE US Equity,3/22/21,566.4375
PACE US Equity,3/19/21,569.8125
PACE US Equity,3/18/21,566.4375
PACE US Equity,3/17/21,576.5625
PACE US Equity,3/16/21,573.75
PACE US Equity,3/15/21,572.625
PACE US Equity,3/12/21,584.4375
PACE US Equity,3/11/21,580.5
PACE US Equity,3/10/21,579.375
PACE US Equity,3/9/21,581.0625
PACE US Equity,3/8/21,577.125
PACE US Equity,3/5/21,584.4375
PACE US Equity,3/4/21,575.4375
PACE US Equity,3/3/21,592.3125
PACE US Equity,3/2/21,597.9375
PACE US Equity,3/1/21,604.6875
PACE US Equity,2/26/21,600.1875
PACE US Equity,2/25/21,586.6875
PACE US Equity,2/24/21,590.625
PACE US Equity,2/23/21,606.9375
PACE US Equity,2/22/21,634.5
PACE US Equity,2/19/21,608.625
PACE US Equity,2/18/21,617.625
PACE US Equity,2/17/21,631.125
PACE US Equity,2/16/21,680.0625
PACE US Equity,2/12/21,677.8125
PACE US Equity,2/11/21,685.125
PACE US Equity,2/10/21,685.6875
PACE US Equity,2/9/21,667.6875
PACE US Equity,2/8/21,660.9375
PACE US Equity,2/5/21,671.0625
PACE US Equity,2/4/21,596.25
PACE US Equity,2/3/21,601.3125
PACE US Equity,2/2/21,597.9375
PACE US Equity,2/1/21,607.5
PACE US Equity,1/29/21,590.625
PACE US Equity,1/28/21,618.1875
PACE US Equity,1/27/21,614.25
PACE US Equity,1/26/21,646.875
PACE US Equity,1/25/21,666.5625
PACE US Equity,1/22/21,669.375
PACE US Equity,1/21/21,649.125
PACE US Equity,1/20/21,649.125
PACE US Equity,1/19/21,627.1875
PACE US Equity,1/15/21,630
PACE US Equity,1/14/21,649.6875
PACE US Equity,1/13/21,662.625
PACE US Equity,1/12/21,648
PACE US Equity,1/11/21,650.8125
PACE US Equity,1/8/21,645.75
PACE US Equity,1/7/21,637.875
PACE US Equity,1/6/21,642.9375
PACE US Equity,1/5/21,643.5
PACE US Equity,1/4/21,627.1875
