ticker,c_name,last_sale,market_cap,ipo_year,sector,industry
FTCI,FTC Solar Inc. Common Stock,$12.40,1054747906.0,2021.0,Technology,Semiconductors
GBOX,Greenbox POS Common Stock,$9.80,403614284.0,,Technology,EDP Services
GDDY,GoDaddy Inc. Class A Common Stock,$81.06,13646929011.0,2015.0,Technology,EDP Services
GDOT,Green Dot Corporation Class A Common Stock $0.001 par value,$44.79,2436083220.0,2010.0,Technology,Advertising
GDRX,GoodRx Holdings Inc. Class A Common Stock,$34.74,13640952990.0,2020.0,Technology,Retail: Computer Software & Peripheral Equipment
GDYN,Grid Dynamics Holdings Inc. Class A Common Stock,$15.39,782444175.0,2018.0,Technology,EDP Services
GFN,General Finance Corporation General Finance Corporation Common Stock,$18.96,573368431.0,,Technology,Diversified Commercial Services
GFNCP,General Finance Corporation Cumulative Redeemable Perpetual Preferred Series C,$101.684,0.0,,Technology,Diversified Commercial Services
GFNSZ,General Finance Corporation 7.875% Senior Notes due 2025,$27.833,0.0,,Technology,Diversified Commercial Services
GOOG,Alphabet Inc. Class C Capital Stock,$2398.69,1607515188631.0,2004.0,Technology,Internet and Information Services
GOOGL,Alphabet Inc. Class A Common Stock,$2351.93,1576178329670.0,,Technology,Internet and Information Services
GRPN,Groupon Inc. Common Stock,$49.76,1447087827.0,2011.0,Technology,Advertising
GSIT,GSI Technology Common Stock,$5.88,139932022.0,2007.0,Technology,Semiconductors
GSKY,GreenSky Inc. Class A Common Stock,$6.54,1206377844.0,2018.0,Technology,EDP Services
GTLS,Chart Industries Inc. Common Stock,$160.14,5820854235.0,2006.0,Technology,Electrical Products
GTYH,GTY Technology Holdings Inc. Common Stock,$5.16,296672884.0,2016.0,Technology,Computer Software: Prepackaged Software
GVP,GSE Systems Inc. Common Stock,$1.30,26828681.0,,Technology,Computer Software: Prepackaged Software
GWRE,Guidewire Software Inc. Common Stock,$98.70,8265062100.0,2012.0,Technology,Computer Software: Prepackaged Software
HCKT,Hackett Group Inc (The). Common Stock,$16.79,507669022.0,,Technology,Retail: Computer Software & Peripheral Equipment
HEES,H&E Equipment Services Inc. Common Stock,$39.97,1443918608.0,2006.0,Technology,Engineering & Construction
HLIT,Harmonic Inc. Common Stock,$7.25,732883527.0,1995.0,Technology,Radio And Television Broadcasting And Communications Equipment
HPQ,HP Inc. Common Stock,$35.57,44341505728.0,,Technology,Computer Manufacturing
HQI,HireQuest Inc. Common Stock (DE),$19.60,267406054.0,,Technology,Diversified Commercial Services
HSII,Heidrick & Struggles International Inc. Common Stock,$42.23,823431537.0,1999.0,Technology,Diversified Commercial Services
HSON,Hudson Global Inc. Common Stock,$18.52,49773741.0,,Technology,Professional Services
HUBS,HubSpot Inc. Common Stock,$509.66,23814258996.0,2014.0,Technology,Computer Software: Prepackaged Software
IBM,International Business Machines Corporation Common Stock,$145.46,129971830561.0,,Technology,EDP Services
ICHR,Ichor Holdings Ordinary Shares,$55.24,1550629556.0,2016.0,Technology,Semiconductors
IDEX,Ideanomics Inc. Common Stock,$2.64,1106991072.0,,Technology,EDP Services
IDN,Intellicheck Inc. Common Stock,$8.10,150609432.0,1999.0,Technology,Retail: Computer Software & Peripheral Equipment
IEC,IEC Electronics Corp. Common Stock,$11.59,122527255.0,,Technology,Electrical Products
IGC,India Globalization Capital Inc. Common Stock,$1.53,69410474.0,,Technology,Engineering & Construction
III,Information Services Group Inc. Information Services Group Inc. Common Stock,$4.88,236195128.0,,Technology,Retail: Computer Software & Peripheral Equipment
IIIV,i3 Verticals Inc. Class A Common Stock,$31.66,1016792687.0,2018.0,Technology,EDP Services
IMMR,Immersion Corporation Common Stock,$7.90,243850698.0,1999.0,Technology,Computer peripheral equipment
IMXI,International Money Express Inc. Common Stock,$14.50,554163262.0,2017.0,Technology,EDP Services
INOD,Innodata Inc. Common Stock,$6.71,176451615.0,1993.0,Technology,EDP Services
INOV,Inovalon Holdings Inc. Class A Common Stock,$30.91,4818660172.0,2015.0,Technology,EDP Services
INPX,Inpixon Common Stock,$1.07,110136263.0,2014.0,Technology,Computer Software: Prepackaged Software
INS,Intelligent Systems Corporation Common Stock,$37.25,330867538.0,1992.0,Technology,Retail: Computer Software & Peripheral Equipment
INTC,Intel Corporation Common Stock,$57.67,232871460000.0,,Technology,Semiconductors
INTT,inTest Corporation Common Stock,$12.80,136999117.0,1997.0,Technology,Semiconductors
INTU,Intuit Inc. Common Stock,$401.04,109820745074.0,1993.0,Technology,Computer Software: Prepackaged Software
