Date,AAPL High,AAPL Low,AAPL Open,AAPL Close,AAPL Volume,AAPL Adj. Close,MSFT High,MSFT Low,MSFT Open,MSFT Close,MSFT Volume,MSFT Adj. Close,AMZN High,AMZN Low,AMZN Open,AMZN Close,AMZN Volume,AMZN Adj. Close,GOOG High,GOOG Low,GOOG Open,GOOG Close,GOOG Volume,GOOG Adj. Close,FB High,FB Low,FB Open,FB Close,FB Volume,FB Adj. Close,AAPL 2019-2021 Return,MSFT 2019-2021 Return,AMZN 2019-2021 Return,GOOGL 2019-2021 Return,FB 2019-2021 Return
8/19/2019,53.18249893,52.50749969,52.65499878,52.58750153,97654400,51.90362549,138.5500031,136.8899994,137.8500061,138.4100037,24355700,136.1810303,1826,1812.609985,1818.079956,1816.119995,2816300,1816.119995,1206.98999,1190.089966,1190.089966,1198.449951,1231600,1198.449951,187.5,184.8500061,186.0099945,186.1699982,9691200,186.1699982,,,,,
8/20/2019,53.33750153,52.58000183,52.72000122,52.59000015,107537200,51.90608978,138.7100067,137.2400055,138.2100067,137.2599945,21170800,135.0495148,1816.819946,1799.880005,1814.5,1801.380005,1929500,1801.380005,1196.060059,1182.109985,1195.25,1182.689941,915500,1182.689941,186,182.3899994,185.4499969,183.8099976,10083400,183.8099976,,,,,
8/21/2019,53.41249847,52.90000153,53.24750137,53.15999985,86141600,52.46867752,139.4900055,138,138.5500031,138.7899933,14970300,136.5548706,1829.579956,1815,1819.390015,1823.540039,2031800,1823.540039,1199,1187.430054,1193.150024,1191.25,740700,1191.25,185.8999939,183.1399994,185,183.5500031,8398200,183.5500031,,,,,
8/22/2019,53.61000061,52.6875,53.29750061,53.11500168,89014800,52.424263,139.1999969,136.2899933,138.6600037,137.7799988,18697000,135.561142,1829.410034,1800.099976,1828,1804.660034,2653500,1804.660034,1198.011963,1178.579956,1194.069946,1189.530029,947500,1189.530029,184.1100006,179.9100037,183.4299927,182.0399933,10821400,182.0399933,,,,,
8/23/2019,53.01250076,50.25,52.35749817,50.65999985,187272000,50.00118637,138.3500061,132.8000031,137.1900024,133.3899994,38508600,131.2418365,1804.900024,1745.22998,1793.030029,1749.619995,5270800,1749.619995,1194.079956,1147.75,1181.98999,1151.290039,1687000,1151.290039,183.1300049,176.6600037,180.8399963,177.75,17323400,177.75,,,,,
8/26/2019,51.79750061,51.26499939,51.46500015,51.62250137,104174400,50.95117188,135.5599976,133.8999939,134.9900055,135.4499969,20312600,133.2686768,1770,1743.51001,1766.910034,1768.869995,3080000,1768.869995,1169.469971,1152.959961,1157.26001,1168.890015,1226100,1168.890015,180.5,178.2400055,179.3999939,180.3600006,8773600,180.3600006,,,,,
8/27/2019,52.13750076,50.88249969,51.96500015,51.04000092,103493200,50.37624359,136.7200012,134.6600037,136.3899994,135.7400055,23102100,133.5539856,1779.400024,1746.680054,1775.72998,1761.829956,3019700,1761.829956,1182.400024,1161.449951,1180.530029,1167.839966,1077200,1167.839966,184.0399933,181.0099945,181.9299927,181.3000031,14399600,181.3000031,,,,,
8/28/2019,51.43000031,50.83000183,51.02500153,51.38249969,63755200,50.71429062,135.7599945,133.5500031,134.8800049,135.5599976,17393300,133.3768768,1767.859985,1744.050049,1755,1764.25,2419700,1764.25,1176.420044,1157.300049,1161.709961,1171.02002,802000,1171.02002,181.9499969,178.9199982,180.5299988,181.7599945,9386100,181.7599945,,,,,
8/29/2019,52.33000183,51.66500092,52.125,52.25249863,83962000,51.57297516,138.4400024,136.9100037,137.25,138.1199951,20168700,135.8956604,1798.550049,1777.25,1783,1786.400024,3015100,1786.400024,1196.060059,1181.119995,1181.119995,1192.849976,1088400,1192.849976,186.0800018,183.4700012,183.7700043,185.5700073,10128700,185.5700073,,,,,
8/30/2019,52.61249924,51.79999924,52.54000092,52.18500137,84573600,51.50635529,139.1799927,136.2700043,139.1499939,137.8600006,23940100,135.6398773,1799.73999,1764.569946,1797.48999,1776.290039,3058700,1776.290039,1198.5,1183.802979,1198.5,1188.099976,1129800,1188.099976,186.8000031,183.4600067,186.7799988,185.6699982,10774500,185.6699982,,,,,
9/3/2019,51.74499893,51.05500031,51.60749817,51.42499924,80092000,50.75623322,137.1999969,135.6999969,136.6100006,136.0399933,18869300,133.8491516,1800.800049,1768,1770,1789.839966,3543000,1789.839966,1186.890015,1163.199951,1177.030029,1168.390015,1479900,1168.390015,185.6699982,182.1100006,184,182.3899994,9779400,182.3899994,,,,,
9/4/2019,52.36999893,51.83000183,52.09749985,52.29750061,76752400,51.61738968,137.6900024,136.4799957,137.3000031,137.6300049,17995900,135.4135742,1807.630005,1796.22998,1805,1800.619995,2324100,1800.619995,1183.47998,1171,1176.709961,1181.410034,1068900,1181.410034,187.75,183.8899994,184.6499939,187.1399994,11308000,187.1399994,,,,,
9/5/2019,53.49250031,52.87749863,53,53.31999969,95654800,52.62659454,140.3800049,138.7599945,139.1100006,140.0500031,26101800,137.7946014,1842,1815.579956,1821.949951,1840.719971,3310800,1840.719971,1213.040039,1191.530029,1191.530029,1211.380005,1408100,1211.380005,191.3600006,187.9400024,188.5299988,190.8999939,13876700,190.8999939,,,,,
9/6/2019,53.60499954,53.12749863,53.51250076,53.31499863,77449200,52.62165833,140.1799927,138.1999969,140.0299988,139.1000061,20824500,136.8599091,1840.650024,1826.400024,1838.219971,1833.51001,2496900,1833.51001,1212.015015,1202.521973,1208.130005,1204.930054,1072100,1204.930054,190.2100067,186.3500061,190.2100067,187.4900055,15226800,187.4900055,,,,,
9/9/2019,54.11000061,52.76750183,53.70999908,53.54249954,109237600,52.84619904,139.75,136.4600067,139.5899963,137.5200043,25773900,135.3053589,1850,1824.609985,1841,1831.349976,2999500,1831.349976,1220,1192.619995,1204,1204.410034,1471900,1204.410034,188.9799957,185.8500061,187.7299957,188.7599945,14722400,188.7599945,,,,,
9/10/2019,54.19499969,52.92750168,53.46500015,54.17499924,127111600,53.47047043,136.8899994,134.5099945,136.8000031,136.0800018,28903400,133.8885345,1825.810059,1805.339966,1822.75,1820.550049,2613900,1820.550049,1210,1194.579956,1195.150024,1206,1260100,1206,188.1000061,184.5500031,187.4400024,186.1699982,15455900,186.1699982,,,,,
9/11/2019,55.92750168,54.43249893,54.51750183,55.89749908,177158400,55.17057037,136.2700043,135.0899963,135.9100037,136.1199951,24726100,133.9278717,1833.420044,1809.079956,1812.140015,1822.98999,2432800,1822.98999,1222.599976,1202.199951,1203.410034,1220.170044,1307000,1220.170044,189.4400024,186.0800018,186.4600067,188.4900055,11761700,188.4900055,,,,,
9/12/2019,56.60499954,55.71500015,56.20000076,55.77249908,128906800,55.04719543,138.4199982,136.8699951,137.8500061,137.5200043,27010000,135.3053589,1853.660034,1834.280029,1837.630005,1843.550049,2823500,1843.550049,1241.859985,1223.02002,1224.300049,1234.25,1725900,1234.25,190.9299927,187.2299957,189.8600006,187.4700012,11419800,187.4700012,,,,,
9/13/2019,55.19749832,54.25500107,55,54.6875,159053200,53.9763031,138.0599976,136.5700073,137.7799988,137.3200073,23363100,135.108551,1846.119995,1835.170044,1842.01001,1839.339966,1971300,1839.339966,1240.880005,1227.01001,1231.349976,1239.560059,1301400,1239.560059,187.9700012,186.5399933,187.3300018,187.1900024,11441100,187.1900024,,,,,
9/16/2019,55.03250122,54.38999939,54.43249893,54.97499847,84632400,54.2600708,136.6999969,135.6600037,135.8300018,136.3300018,16731400,134.134491,1825.689941,1800.199951,1824.02002,1807.839966,3675500,1807.839966,1239.560059,1225.609985,1229.52002,1231.300049,1053300,1231.300049,187.7899933,185.7700043,186.9299927,186.2200012,8444800,186.2200012,,,,,
